rxnID,rxnName,fluxMeasured,fluxError,fluxPredicted,lowerPredicted,upperPredicted
rxn01871,tca1,0.424,0.035,,,
rxn00256,tca2,0.322,0.019,,,
rxn00199,tca3,0.28,0.05,,,
rxn01872,tca4,0.118,0.05,,,
rxn00288,tca5,1.161,0.019,,,
rxn00248,tca6,0.616,0.009,,,
rxn00558,gly1,0.031,0.058,,,
rxn00459,gly3,0.303,0.025,,,
rxn00604,ppp0,0,0.058,,,
rxn01115,ppp1,0,0.057,,,
rxn00785,ppp2b,-0.013,0.019,,,
rxn01200,ppp2c,-0.002,0.019,,,
rxn01333,ppp3a,-0.002,0.019,,,
rxn03884,edp,0,0.018,,,
rxn00336,gox1,0.042,0.038,,,
rxn00330,gox2,0.042,0.038,,,
EX_cpd00011,co2OUT,1.8,0.039,,,